epoch,step,test_loss,train_loss,val_loss
0,32,,,11236310.0
1,49,,11997780.0,
1,65,,,10973032.0
2,98,,,9311803.0
3,99,,9453797.0,
3,131,,,4425779.0
4,149,,1728525.375,
4,164,,,186233.3125
5,197,,,79543.3828125
6,199,,216402.75,
6,230,,,52074.94921875
7,249,,109814.203125,
7,263,,,37626.48046875
8,296,,,27605.791015625
9,299,,128800.390625,
9,329,,,19481.47265625
10,349,,139900.640625,
10,362,,,13361.0107421875
11,395,,,9952.5390625
12,399,,82565.484375,
12,428,,,6823.166015625
13,449,,67351.1875,
13,461,,,8970.9853515625
14,494,,,4793.4462890625
15,499,,149376.453125,
15,527,,,5492.595703125
16,549,,105323.265625,
16,560,,,3879.7353515625
17,593,,,2100.193115234375
18,599,,92339.734375,
18,626,,,6146.4677734375
19,649,,105253.3671875,
19,659,,,3180.5361328125
20,692,,,3829.081787109375
21,699,,108989.734375,
21,725,,,6315.568359375
22,726,7605.54833984375,,
