epoch,step,test_loss,train_loss,val_loss
0,32,,,0.5574300289154053
1,49,,0.2351488471031189,
1,65,,,0.03799963742494583
2,98,,,0.024502478539943695
3,99,,0.08564388751983643,
3,131,,,0.018594229593873024
4,149,,0.08625996112823486,
4,164,,,0.019311945885419846
5,197,,,0.014387931674718857
6,199,,0.08441580832004547,
6,230,,,0.012188009917736053
7,249,,0.07759270071983337,
7,263,,,0.009605218656361103
8,296,,,0.009632879868149757
9,299,,0.06848038733005524,
9,329,,,0.014223797246813774
10,349,,0.05149179324507713,
10,362,,,0.011593734845519066
11,395,,,0.005753679666668177
12,399,,0.04814958572387695,
12,428,,,0.005759646184742451
13,449,,0.04629591107368469,
13,461,,,0.00596058601513505
14,494,,,0.005946474149823189
15,499,,0.03803236037492752,
15,527,,,0.011305819265544415
16,528,0.011425902135670185,,
